drugbank_id,name,cas,smiles
DB00115,Cyanocobalamin,68-19-9,C[C@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@H]2N=C1\C(C)=C1/N=C(/C=C3\N=C(\C(\C)=C4\[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@@]2(C)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]1CCC(N)=O)OP([O-])(=O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)N1C=NC2=C1C=C(C)C(C)=C2
DB00116,Tetrahydrofolic acid,135-16-0,NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2)N1
DB00117,Histidine,71-00-1,N[C@@H](CC1=CNC=N1)C(O)=O
DB00118,Ademetionine,29908-03-0,C[S+](CC[C@H](N)C([O-])=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N
DB00119,Pyruvic acid,127-17-3,CC(=O)C(O)=O
DB00120,Phenylalanine,63-91-2,N[C@@H](CC1=CC=CC=C1)C(O)=O
DB00121,Biotin,58-85-5,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2
DB00122,Choline,62-49-7,C[N+](C)(C)CCO
DB00123,Lysine,56-87-1,NCCCC[C@H](N)C(O)=O
DB00125,Arginine,74-79-3,N[C@@H](CCCNC(N)=N)C(O)=O
DB00126,Ascorbic acid,50-81-7,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO
DB00127,Spermine,71-44-3,NCCCNCCCCNCCCN
DB00128,Aspartic acid,56-84-8,N[C@@H](CC(O)=O)C(O)=O
DB00129,Ornithine,70-26-8,NCCC[C@H](N)C(O)=O
DB00130,L-Glutamine,56-85-9,N[C@@H](CCC(N)=O)C(O)=O
DB00131,Adenosine phosphate,61-19-8,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1
DB00132,alpha-Linolenic acid,463-40-1,CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O
DB00133,Serine,56-45-1,N[C@@H](CO)C(O)=O
DB00134,Methionine,63-68-3,CSCC[C@H](N)C(O)=O
DB00135,Tyrosine,60-18-4,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O
DB00136,Calcitriol,32222-06-3,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C
DB00137,Lutein,127-40-2,C\C(\C=C\C=C(/C)\C=C\[C@H]1C(C)=C[C@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C
DB00138,Cystine,56-89-3,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O
DB00139,Succinic acid,110-15-6,OC(=O)CCC(O)=O
DB00140,Riboflavin,83-88-5,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1
DB00141,N-Acetylglucosamine,7512-17-6,[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO
DB00142,Glutamic acid,56-86-0,N[C@@H](CCC(O)=O)C(O)=O
DB00143,Glutathione,70-18-8,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O
DB00144,Phosphatidyl serine,1446756-47-3,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(O)(=O)OC[C@H](N)C(O)=O)OC(=O)CCCCCCCCCCCCCCCCC
DB00145,Glycine,56-40-6,NCC(O)=O
DB00146,Calcifediol,19356-17-3,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
DB00147,Pyridoxal,66-72-8,CC1=NC=C(CO)C(C=O)=C1O
DB00148,Creatine,57-00-1,CN(CC(O)=O)C(N)=N
DB00149,Leucine,61-90-5,CC(C)C[C@H](N)C(O)=O
DB00150,Tryptophan,73-22-3,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O
DB00151,Cysteine,52-90-4,N[C@@H](CS)C(O)=O
DB00152,Thiamine,70-16-6,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N
DB00153,Ergocalciferol,50-14-6,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
DB00154,Dihomo-gamma-linolenic acid,1783-84-2,CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O
DB00155,Citrulline,372-75-8,N[C@@H](CCCNC(N)=O)C(O)=O
DB00156,Threonine,72-19-5,C[C@@H](O)[C@H](N)C(O)=O
DB00157,NADH,58-68-4,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O
DB00158,Folic acid,59-30-3,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1
DB00159,Icosapent,10417-94-4,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O
DB00160,Alanine,56-41-7,C[C@H](N)C(O)=O
DB00161,Valine,72-18-4,CC(C)[C@H](N)C(O)=O
DB00162,Vitamin A,68-26-8,C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C
DB00163,Vitamin E,1959/2/9,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C
DB00165,Pyridoxine,65-23-6,CC1=C(O)C(CO)=C(CO)C=N1
DB00166,Lipoic acid,1200-22-2,OC(=O)CCCC[C@@H]1CCSS1
DB00167,Isoleucine,73-32-5,CC[C@H](C)[C@H](N)C(O)=O
DB00168,Aspartame,22839-47-0,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O
DB00169,Cholecalciferol,67-97-0,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
DB00170,Menadione,58-27-5,CC1=CC(=O)C2=CC=CC=C2C1=O
DB00171,ATP,56-65-5,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
DB00172,Proline,147-85-3,OC(=O)[C@@H]1CCCN1
DB00173,Adenine,73-24-5,NC1=C2NC=NC2=NC=N1
DB00174,Asparagine,70-47-3,N[C@@H](CC(N)=O)C(O)=O
DB00175,Pravastatin,81093-37-0,[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC
DB00176,Fluvoxamine,54739-18-3,COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F
DB00177,Valsartan,137862-53-4,CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O
DB00178,Ramipril,87333-19-5,[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC
DB00179,Masoprocol,27686-84-6,C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1
DB00180,Flunisolide,3385/3/3,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO
DB00181,Baclofen,1134-47-0,NCC(CC(O)=O)C1=CC=C(Cl)C=C1
DB00182,Amphetamine,300-62-9,CC(N)CC1=CC=CC=C1
DB00183,Pentagastrin,5534-95-2,CSCC[C@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O
DB00184,Nicotine,1954/11/5,CN1CCC[C@H]1C1=CN=CC=C1
DB00185,Cevimeline,107233-08-9,CC1O[C@@]2(CS1)CN1CCC2CC1
DB00186,Lorazepam,846-49-1,OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2
DB00187,Esmolol,81147-92-4,COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1
DB00188,Bortezomib,179324-69-7,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O
DB00189,Ethchlorvynol,113-18-8,CCC(O)(\C=C\Cl)C#C
DB00190,Carbidopa,28860-95-9,C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O
DB00191,Phentermine,122-09-8,CC(C)(N)CC1=CC=CC=C1
DB00192,Indecainide,74517-78-5,CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=CC=CC=C12
DB00193,Tramadol,27203-92-5,COC1=CC=CC(=C1)C1(O)CCCCC1CN(C)C
DB00194,Vidarabine,24356-66-9,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
DB00195,Betaxolol,63659-18-7,CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1
DB00196,Fluconazole,86386-73-4,OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1
DB00197,Troglitazone,97322-87-7,CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)O2)C(C)=C1O
DB00198,Oseltamivir,196618-13-0,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1
DB00199,Erythromycin,114-07-8,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
DB00200,Hydroxocobalamin,13422-51-0,[N+]1=2[Co-3]345([N+]6=C7[C@H]([C@@](CC(=O)N)(C)[C@@]6([C@@]6(N3C(=C(C)C3=[N+]4C(C(C)(C)[C@@H]3CCC(=O)N)=CC3=[N+]5C(=C7C)[C@@](CC(=O)N)([C@@H]3CCC(=O)N)C)[C@@](C)([C@H]6CC(=O)N)CCC(NC[C@@H](C)OP(=O)(O[C@@H]3[C@H](O[C@H](N(C4=CC(=C(C=C14)C)C)C=2)[C@@H]3O)CO)[O-])=O)[H])C)CCC(=O)N)O[H]
DB00201,Caffeine,1958/8/2,CN1C=NC2=C1C(=O)N(C)C(=O)N2C
DB00202,Succinylcholine,306-40-1,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
DB00203,Sildenafil,139755-83-2,CCCC1=NN(C)C2=C1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(C)CC1
DB00204,Dofetilide,115256-11-6,CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1
DB00205,Pyrimethamine,58-14-0,CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1
DB00206,Reserpine,50-55-5,[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2
DB00207,Azithromycin,83905-01-5,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
DB00208,Ticlopidine,55142-85-3,ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2
DB00209,Trospium,47608-32-2,[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1
DB00210,Adapalene,106685-40-9,COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2
DB00211,Midodrine,42794-76-3,COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1
DB00212,Remikiren,126222-34-2,CC(C)(C)S(=O)(=O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)C1CC1
DB00213,Pantoprazole,102625-70-7,COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1
DB00214,Torasemide,56211-40-6,CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1
DB00215,Citalopram,59729-33-8,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1
DB00216,Eletriptan,143322-58-1,CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2
DB00217,Bethanidine,55-73-2,CN\C(NCC1=CC=CC=C1)=N/C
DB00218,Moxifloxacin,151096-09-2,[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O
DB00219,Oxyphenonium,14214-84-7,CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1
DB00220,Nelfinavir,159989-64-7,[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C
DB00221,Isoetharine,79490-84-9,CCC(NC(C)C)C(O)C1=CC(O)=C(O)C=C1
DB00222,Glimepiride,93479-97-1,CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2)C1=O
DB00223,Diflorasone,2557-49-5,[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C
DB00224,Indinavir,150378-17-9,CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12
DB00225,Gadodiamide,131410-48-5,[Gd+3].CNC(=O)CN(CCN(CCN(CC([O-])=O)CC(=O)NC)CC([O-])=O)CC([O-])=O
DB00226,Guanadrel,40580-59-4,NC(N)=NCC1COC2(CCCCC2)O1
DB00227,Lovastatin,75330-75-5,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC
DB00228,Enflurane,13838-16-9,FC(F)OC(F)(F)C(F)Cl
DB00229,Cefotiam,61622-34-2,[H][C@]12SCC(CSC3=NN=NN3CCN(C)C)=C(N1C(=O)[C@H]2NC(=O)CC1=CSC(N)=N1)C(O)=O
DB00230,Pregabalin,148553-50-8,CC(C)C[C@H](CN)CC(O)=O
DB00231,Temazepam,846-50-4,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1
DB00232,Methyclothiazide,135-07-9,CN1C(CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O
DB00233,Aminosalicylic acid,65-49-6,NC1=CC(O)=C(C=C1)C(O)=O
DB00234,Reboxetine,71620-89-8,[H][C@@]1(CNCCO1)[C@H](OC1=CC=CC=C1OCC)C1=CC=CC=C1
DB00235,Milrinone,78415-72-2,CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1
DB00236,Pipobroman,54-91-1,BrCCC(=O)N1CCN(CC1)C(=O)CCBr
DB00237,Butabarbital,125-40-6,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
DB00238,Nevirapine,129618-40-2,CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1
DB00239,Oxiconazole,64211-45-6,ClC1=CC(Cl)=C(CO\N=C(/CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1
DB00240,Alclometasone,67452-97-5,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])[C@H](Cl)CC2=CC(=O)C=C[C@]12C
DB00241,Butalbital,77-26-9,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O
DB00242,Cladribine,4291-63-8,NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1
DB00243,Ranolazine,95635-55-5,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1
DB00244,Mesalazine,89-57-6,NC1=CC(C(O)=O)=C(O)C=C1
DB00245,Benzatropine,86-13-5,[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C
DB00246,Ziprasidone,146939-27-7,ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1
DB00247,Methysergide,361-37-5,[H][C@@]12CC3=CN(C)C4=C3C(=CC=C4)C1=C[C@H](CN2C)C(=O)NC(CC)CO
DB00248,Cabergoline,81409-90-7,[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC
DB00249,Idoxuridine,54-42-2,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(I)C(=O)NC1=O
DB00250,Dapsone,80-08-0,NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1
DB00251,Terconazole,67915-31-5,CC(C)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1
DB00252,Phenytoin,57-41-0,O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1
DB00253,Medrysone,2668-66-8,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C
DB00254,Doxycycline,564-25-0,[H][C@@]12[C@@H](C)C3=CC=CC(O)=C3C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O
DB00255,Diethylstilbestrol,56-53-1,CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1
DB00256,Lymecycline,992-21-2,[H][C@@]12C[C@@]3([H])C(C(=O)C4=C(O)C=CC=C4[C@@]3(C)O)=C(O)[C@]1(O)C(=O)C(C(=O)NCNCCCC[C@H](N)C(O)=O)=C(O)[C@H]2N(C)C
DB00257,Clotrimazole,23593-75-1,ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1
DB00258,Calcium acetate,62-54-4,[Ca++].CC([O-])=O.CC([O-])=O
DB00259,Sulfanilamide,63-74-1,NC1=CC=C(C=C1)S(N)(=O)=O
DB00260,Cycloserine,68-41-7,N[C@@H]1CONC1=O
DB00261,Anagrelide,68475-42-3,ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl
DB00262,Carmustine,154-93-8,ClCCNC(=O)N(CCCl)N=O
DB00263,Sulfisoxazole,127-69-5,CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C
DB00264,Metoprolol,51384-51-1,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1
DB00265,Crotamiton,483-63-6,CCN(C(=O)C=CC)C1=CC=CC=C1C
DB00266,Dicoumarol,66-76-2,OC1=C(CC2=C(O)C3=C(OC2=O)C=CC=C3)C(=O)OC2=C1C=CC=C2
DB00267,Cefmenoxime,65085-01-0,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O
DB00268,Ropinirole,91374-21-9,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1
DB00269,Chlorotrianisene,569-57-3,COC1=CC=C(C=C1)C(Cl)=C(C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1
DB00270,Isradipine,75695-93-1,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C
DB00271,Diatrizoate,117-96-4,CC(=O)NC1=C(I)C(C(O)=O)=C(I)C(NC(C)=O)=C1I
DB00272,Betazole,105-20-4,NCCC1=CC=NN1
DB00273,Topiramate,97240-79-4,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2
DB00274,Cefmetazole,56796-20-4,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@]2(NC(=O)CSCC#N)OC)C(O)=O
